,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2381571,10-09-2021,Республика Бурятия,АРЕНДА АВТО,0.0,0.0,123.46,78.0,6.4,10,9,2021
2381935,05-09-2021,Республика Бурятия,ТРАНСПОРТ,53.33,290.0,176.13,223.0,10.0,5,9,2021
2382228,05-09-2021,Республика Бурятия,КРАСОТА,18.57,118.0,208.63,183.0,9.1,5,9,2021
2382835,20-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,6.27,826.0,270.23,282.0,10.0,20,9,2021
2383855,18-09-2021,Республика Бурятия,DUTY FREE,0.0,,502.97,503.0,0.8,18,9,2021
2383940,10-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,184.74,176.0,4.3,10,9,2021
2384977,11-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,432.23,426.0,10.0,11,9,2021
2386538,07-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,48.37,95.0,94.18,95.0,2.5,7,9,2021
2387168,05-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,1.4,5,9,2021
2387174,10-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",10.76,668.0,206.88,223.0,7.2,10,9,2021
2387356,21-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",10.12,692.0,229.51,246.0,7.7,21,9,2021
2388050,02-09-2021,Республика Бурятия,СПОРТТОВАРЫ,8.57,500.0,148.19,158.0,5.3,2,9,2021
2388058,23-09-2021,Республика Бурятия,СПОРТТОВАРЫ,4.76,324.0,180.36,184.0,4.8,23,9,2021
2389736,19-09-2021,Республика Бурятия,ОТЕЛИ,31.25,261.0,142.58,166.0,8.4,19,9,2021
2389923,06-09-2021,Республика Бурятия,НКО,50.0,73.0,42.63,54.0,2.7,6,9,2021
2389927,27-09-2021,Республика Бурятия,НКО,61.54,72.0,26.01,43.0,3.1,27,9,2021
2390601,11-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,246.09,234.0,6.8,11,9,2021
2391972,30-09-2021,Республика Бурятия,ГОС. СБОРЫ,77.42,357.0,221.82,314.0,9.3,30,9,2021
2394087,21-09-2021,Республика Бурятия,КИНО,28.57,1537.0,100.02,136.0,4.1,21,9,2021
2394657,06-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,105.4,54.0,2.6,6,9,2021
2395373,09-09-2021,Республика Бурятия,ОТЕЛИ,24.53,229.0,174.92,186.0,7.1,9,9,2021
2395528,13-09-2021,Республика Бурятия,ФАСТФУД,5.64,2683.0,328.23,345.0,10.0,13,9,2021
2397131,05-09-2021,Республика Бурятия,СПОРТТОВАРЫ,6.76,830.0,318.45,332.0,6.8,5,9,2021
2400469,20-09-2021,Республика Бурятия,АПТЕКИ,0.96,4231.0,311.42,314.0,10.0,20,9,2021
2400647,08-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,24.39,147.0,554.55,331.0,10.0,8,9,2021
2400654,27-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.8,152.0,164.8,165.0,8.3,27,9,2021
2401029,07-09-2021,Республика Бурятия,ЦВЕТЫ,7.69,637.0,279.74,292.0,1.2,7,9,2021
2403580,28-09-2021,Республика Бурятия,НКО,76.19,143.0,25.98,69.0,3.3,28,9,2021
2405379,16-09-2021,Республика Бурятия,ФАСТФУД,4.09,2183.0,374.29,387.0,10.0,16,9,2021
2406270,10-09-2021,Республика Бурятия,ОТЕЛИ,16.39,176.0,222.55,213.0,8.6,10,9,2021
2407203,02-09-2021,Республика Бурятия,КНИГИ,6.52,495.0,1167.34,1072.0,10.0,2,9,2021
2407322,15-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,49.06,535.0,515.38,525.0,10.0,15,9,2021
2412984,08-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",12.44,916.0,240.5,265.0,7.9,8,9,2021
2413068,14-09-2021,Республика Бурятия,КРАСОТА,20.55,135.0,209.59,188.0,10.0,14,9,2021
2413075,29-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,70.09,452.0,316.29,400.0,10.0,29,9,2021
2413478,08-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",10.09,594.0,317.13,333.0,9.1,8,9,2021
2413756,07-09-2021,Республика Бурятия,НКО,66.67,55.0,15.96,30.0,2.4,7,9,2021
2414810,24-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.83,303.0,317.98,318.0,10.0,24,9,2021
2417435,09-09-2021,Республика Бурятия,ГОС. СБОРЫ,37.21,244.0,875.59,445.0,10.0,9,9,2021
2417696,28-09-2021,Республика Бурятия,КНИГИ,5.88,160.0,421.49,385.0,10.0,28,9,2021
2417881,05-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",6.99,625.0,310.44,322.0,9.0,5,9,2021
2418749,25-09-2021,Республика Бурятия,КРАСОТА,35.9,372.0,267.76,298.0,10.0,25,9,2021
2419654,10-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,71.72,399.0,258.12,346.0,10.0,10,9,2021
2419658,19-09-2021,Республика Бурятия,АРЕНДА АВТО,30.77,842.0,1100.2,1005.0,9.2,19,9,2021
2419804,03-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,24.56,104.0,387.17,232.0,10.0,3,9,2021
2420611,04-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,1.48,200.0,290.54,289.0,10.0,4,9,2021
2420931,13-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,54.76,231.0,98.58,144.0,9.4,13,9,2021
2422196,27-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,25.66,209.0,736.02,447.0,10.0,27,9,2021
2424301,17-09-2021,Республика Бурятия,НКО,50.0,72.0,41.95,53.0,3.2,17,9,2021
2425874,05-09-2021,Республика Бурятия,КИНО,9.09,785.0,204.27,219.0,5.7,5,9,2021
2425877,12-09-2021,Республика Бурятия,РЕСТОРАНЫ,1.38,308.0,193.16,194.0,7.8,12,9,2021
2428251,28-09-2021,Республика Бурятия,СУВЕНИРЫ,14.29,580.0,181.37,201.0,4.7,28,9,2021
2428874,23-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,7.1,23,9,2021
2433825,28-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,3.6,28,9,2021
2434113,03-09-2021,Республика Бурятия,ТОПЛИВО,0.0,,266.77,267.0,9.7,3,9,2021
2434797,14-09-2021,Республика Бурятия,МЕД. УСЛУГИ,1.3,1794.0,534.55,539.0,10.0,14,9,2021
2434799,20-09-2021,Республика Бурятия,ОТЕЛИ,23.26,174.0,142.38,149.0,7.0,20,9,2021
2436304,28-09-2021,Республика Бурятия,ОТЕЛИ,41.77,569.0,197.07,271.0,8.4,28,9,2021
2436531,16-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.6,153.0,222.67,222.0,9.1,16,9,2021
2437126,10-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,49.15,74.0,71.18,73.0,2.8,10,9,2021
2440450,14-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",7.72,410.0,293.18,300.0,8.8,14,9,2021
2440486,16-09-2021,Республика Бурятия,DUTY FREE,0.0,,251.89,252.0,1.7,16,9,2021
2441132,02-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,269.36,266.0,10.0,2,9,2021
2441795,22-09-2021,Республика Бурятия,КРАСОТА,29.76,222.0,211.13,214.0,10.0,22,9,2021
2442359,17-09-2021,Республика Бурятия,ОТЕЛИ,41.18,487.0,172.9,235.0,7.9,17,9,2021
2442610,02-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,20.0,94.0,936.22,336.0,8.8,2,9,2021
2442613,11-09-2021,Республика Бурятия,ГОС. СБОРЫ,53.33,121.0,226.32,155.0,6.3,11,9,2021
2444730,23-09-2021,Республика Бурятия,ОТЕЛИ,26.39,329.0,227.82,248.0,9.1,23,9,2021
2446698,23-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",37.04,246.0,181.27,201.0,10.0,23,9,2021
2450959,03-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,46.15,377.0,407.62,393.0,10.0,3,9,2021
2451370,29-09-2021,Республика Бурятия,ГОС. СБОРЫ,50.0,179.0,380.68,243.0,10.0,29,9,2021
2451626,10-09-2021,Республика Бурятия,DUTY FREE,0.0,,190.47,190.0,2.2,10,9,2021
2451631,22-09-2021,Республика Бурятия,ТОПЛИВО,0.0,,245.21,245.0,8.4,22,9,2021
2451789,04-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",30.77,202.0,196.56,198.0,10.0,4,9,2021
2455737,14-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,19.59,139.0,692.34,389.0,10.0,14,9,2021
2458853,24-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,288.8,289.0,10.0,24,9,2021
2459362,02-09-2021,Республика Бурятия,ОТЕЛИ,38.89,373.0,145.7,191.0,6.1,2,9,2021
2459368,14-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,37.38,526.0,817.21,677.0,3.5,14,9,2021
2460399,21-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.19,271.0,264.65,265.0,10.0,21,9,2021
2460912,25-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.0,270.0,289.17,289.0,10.0,25,9,2021
2461738,18-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,75.0,87.0,43.27,70.0,9.0,18,9,2021
