month,purchase_category_nm,coronaindex
2,Ж/Д БИЛЕТЫ,3.605625979205241
2,СПОРТТОВАРЫ,3.6451422963689892
1,СПОРТТОВАРЫ,3.6482505788525854
3,ФОТО/ВИДЕО,3.6497653878001657
5,СПОРТТОВАРЫ,3.664512807311108
1,КРАСОТА,3.6818782564493584
2,АВИАБИЛЕТЫ,3.700069647583229
1,КИНО,3.705236875800256
1,ЧАСТНЫЕ УСЛУГИ,3.7132790276700285
1,ГОС. СБОРЫ,3.7142286891578675
2,ОТЕЛИ,3.741397698568622
9,СПОРТТОВАРЫ,3.752675982072238
8,СУВЕНИРЫ,3.765091897488998
3,"ОДЕЖДА, ОБУВЬ",3.7685902303214376
3,МУЗЫКА,3.7768066157760813
11,ФОТО/ВИДЕО,3.794842347045312
4,НКО,3.8090563066019163
2,ФОТО/ВИДЕО,3.8236708482676223
10,ТУРАГЕНТСТВА,3.8276430786580207
4,РЕСТОРАНЫ,3.843526026680617
7,АРЕНДА АВТО,3.895328332675352
10,ОТЕЛИ,3.904215646534252
5,ЧАСТНЫЕ УСЛУГИ,3.917715317173801
6,ТУРАГЕНТСТВА,3.9256925505956652
4,ЧАСТНЫЕ УСЛУГИ,3.93711477151966
2,КНИГИ,3.945385587863464
7,ФОТО/ВИДЕО,3.9564935064935067
10,ЧАСТНЫЕ УСЛУГИ,3.956504119951371
7,ЧАСТНЫЕ УСЛУГИ,3.973337604099936
6,Ж/Д БИЛЕТЫ,3.978912378673049
2,МУЗЫКА,3.984635706340378
9,ЧАСТНЫЕ УСЛУГИ,4.000822172125713
1,МУЗЫКА,4.0091348600508905
5,НКО,4.020560629122273
8,АРЕНДА АВТО,4.036505439769301
12,ЧАСТНЫЕ УСЛУГИ,4.038660287081339
10,"ОДЕЖДА, ОБУВЬ",4.041577540106952
10,МУЗЫКА,4.042939442658092
10,Ж/Д БИЛЕТЫ,4.043370878002443
11,ЧАСТНЫЕ УСЛУГИ,4.0558157999206035
9,МУЗЫКА,4.056127932887666
6,"ОДЕЖДА, ОБУВЬ",4.075450980392157
8,ЧАСТНЫЕ УСЛУГИ,4.088139059304703
6,РАЗВЛЕЧЕНИЯ,4.093482821924994
12,РАЗВЛЕЧЕНИЯ,4.10611121654963
3,ЧАСТНЫЕ УСЛУГИ,4.111990746690657
8,МУЗЫКА,4.11544126984127
9,АРЕНДА АВТО,4.118386314655172
11,КНИГИ,4.1235830360681724
7,ОТЕЛИ,4.140559529892693
1,СЕРВИС. УСЛУГИ,4.143217226092464
6,ФОТО/ВИДЕО,4.147528784049425
7,МУЗЫКА,4.1683836589698045
6,КРАСОТА,4.18543956043956
11,"ОДЕЖДА, ОБУВЬ",4.19178431372549
6,ЧАСТНЫЕ УСЛУГИ,4.192893065113817
5,РЕСТОРАНЫ,4.1963436234817815
5,МУЗЫКА,4.2015746031746035
9,Ж/Д БИЛЕТЫ,4.221631627660981
7,Ж/Д БИЛЕТЫ,4.227844849730285
8,ФОТО/ВИДЕО,4.240161290322581
7,"ОДЕЖДА, ОБУВЬ",4.24146742567995
12,ФОТО/ВИДЕО,4.271087000200924
8,КНИГИ,4.275283909659309
2,ЧАСТНЫЕ УСЛУГИ,4.286262654668167
5,АРЕНДА АВТО,4.2865716322166785
10,КНИГИ,4.296564268391269
8,СПОРТТОВАРЫ,4.302519083969466
6,НКО,4.3068029885961465
8,Ж/Д БИЛЕТЫ,4.30769033252022
2,КРАСОТА,4.314121237342211
7,КРАСОТА,4.3362450943157365
12,МУЗЫКА,4.3434127740705435
11,РАЗВЛЕЧЕНИЯ,4.344485871271585
6,МУЗЫКА,4.35619335347432
1,АВТО УСЛУГИ,4.375959699017983
1,ОБРАЗОВАНИЕ,4.376363636363636
6,СПОРТТОВАРЫ,4.378924418604651
9,ОТЕЛИ,4.384068466096116
11,МУЗЫКА,4.385144429160936
11,КРАСОТА,4.402984488513646
10,КРАСОТА,4.423762376237623
7,СПОРТТОВАРЫ,4.427405804480651
3,КРАСОТА,4.430395637839209
9,КРАСОТА,4.44247023420123
9,"ОДЕЖДА, ОБУВЬ",4.471137254901961
5,ГОС. СБОРЫ,4.498247857782325
3,НКО,4.499694928181009
7,ОБРАЗОВАНИЕ,4.499775102526789
5,МЕД. УСЛУГИ,4.50418260647794
4,ГОС. СБОРЫ,4.5161183337755375
12,"ОДЕЖДА, ОБУВЬ",4.528614800759013
7,ТУРАГЕНТСТВА,4.541255307855627
1,МЕД. УСЛУГИ,4.547937283125562
10,ФОТО/ВИДЕО,4.5558132995922955
12,КНИГИ,4.560294962650833
2,ГОС. СБОРЫ,4.560642907058002
5,СЕРВИС. УСЛУГИ,4.579562136168058
12,РЕСТОРАНЫ,4.5808728652751425
8,КРАСОТА,4.591794352285678
1,РЕСТОРАНЫ,4.608058191018342
3,ГОС. СБОРЫ,4.608222506393862
1,РАЗВЛЕЧЕНИЯ,4.611049092984905
3,РАЗВЛЕЧЕНИЯ,4.624320893627824
8,ОТЕЛИ,4.648883786197219
9,ТУРАГЕНТСТВА,4.653251366120219
7,СЕРВИС. УСЛУГИ,4.65370018975332
9,ФОТО/ВИДЕО,4.671465896589659
7,НКО,4.68193122700165
6,СЕРВИС. УСЛУГИ,4.683418333987184
4,МЕД. УСЛУГИ,4.684344500131891
