iter	Passed	Remaining
814	5224	1185
815	5235	1180
816	5245	1174
817	5258	1169
818	5271	1164
819	5280	1159
820	5292	1153
821	5306	1148
822	5317	1143
823	5327	1138
824	5340	1132
825	5350	1127
826	5359	1121
827	5369	1115
828	5378	1109
829	5388	1103
830	5397	1097
831	5406	1091
832	5418	1086
833	5426	1080
834	5436	1074
835	5445	1068
836	5454	1062
837	5462	1056
838	5472	1050
839	5483	1044
840	5491	1038
841	5501	1032
842	5509	1026
843	5518	1019
844	5526	1013
845	5534	1007
846	5543	1001
847	5551	995
848	5562	989
849	5573	983
850	5586	978
851	5595	972
852	5604	965
853	5617	960
854	5628	954
855	5640	948
856	5653	943
857	5666	937
858	5676	931
859	5688	926
860	5703	920
861	5717	915
862	5731	909
863	5743	904
864	5753	897
865	5764	892
866	5775	885
867	5786	879
868	5797	873
869	5806	867
870	5816	861
871	5830	855
872	5840	849
873	5849	843
874	5858	836
875	5867	830
876	5877	824
877	5887	818
878	5897	811
879	5906	805
880	5916	799
881	5928	793
882	5936	786
883	5946	780
884	5955	773
885	5965	767
886	5975	761
887	5983	754
888	5992	748
889	6000	741
890	6009	735
891	6017	728
892	6025	722
893	6033	715
894	6041	708
895	6049	702
896	6058	695
897	6066	689
898	6075	682
899	6083	675
900	6091	669
901	6100	662
902	6110	656
903	6121	650
904	6130	643
905	6139	636
906	6148	630
907	6156	623
908	6163	617
909	6171	610
910	6179	603
911	6187	597
912	6195	590
913	6203	583
914	6211	577
915	6219	570
916	6228	563
917	6236	557
918	6243	550
919	6252	543
920	6259	536
921	6268	530
922	6275	523
923	6284	516
924	6292	510
925	6301	503
926	6309	496
927	6318	490
928	6325	483
929	6335	476
930	6344	470
931	6352	463
932	6360	456
933	6368	450
934	6376	443
935	6385	436
936	6393	429
937	6401	423
938	6409	416
939	6418	409
940	6425	402
941	6433	396
942	6441	389
943	6449	382
944	6457	375
945	6466	369
946	6473	362
947	6482	355
948	6489	348
949	6498	342
950	6506	335
951	6515	328
952	6523	321
953	6532	314
954	6538	308
955	6547	301
956	6554	294
957	6563	287
958	6571	280
959	6580	274
960	6588	267
961	6597	260
962	6605	253
963	6614	247
964	6623	240
965	6631	233
966	6639	226
967	6648	219
968	6657	212
969	6666	206
970	6675	199
971	6687	192
972	6697	185
973	6706	179
974	6717	172
975	6727	165
976	6735	158
977	6745	151
978	6754	144
979	6764	138
980	6774	131
981	6784	124
982	6796	117
983	6808	110
984	6821	103
985	6832	97
986	6844	90
987	6857	83
988	6870	76
989	6881	69
990	6889	62
991	6900	55
992	6909	48
993	6918	41
994	6927	34
995	6935	27
996	6945	20
997	6953	13
998	6961	6
999	6969	0
